名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
j***f,银牌会员,手机还行！里面就有一个手机和充电器，什么也没有，耳机也没有，包装太简单了……就一个京东的袋子包装的,2018-03-08 11:14:32,0,0,5
G***4,PLUS会员,运行速度快。外观好看。性价比高。希望华为越做越好。,2018-03-07 13:00:22,0,0,5
x***h,PLUS会员,帮同事买的，周边的同事都在用华为手机，不错，好评,2018-03-08 10:11:10,0,0,5
小***兔,银牌会员,"唉。商家速度很快。
虽然我被网上认识的人骗了这个手机。但是商家无责",2018-03-06 21:10:28,0,0,5
孔***霞,PLUS会员,给老爸买的手机，使用下来还不错，物流也快,2018-03-06 10:08:32,0,0,5
j***m,PLUS会员,手机运行速度很快，外观好看，值得购买。,2018-03-07 18:40:52,0,0,5
遇***己,PLUS会员,第一次在网上买手机，京东的就是不一样,2018-03-09 16:55:14,0,0,5
g***y,PLUS会员,给老婆买的 不错 很好用哦 以后再买,2018-03-08 17:42:46,0,0,5
5***y,PLUS会员,购物方便，配送很快，服务满意,2018-03-08 16:14:49,0,0,5
水***叶,PLUS会员,手机不错，好用，价格也还行。,2018-03-06 13:56:20,0,0,5
杨***薛,PLUS会员[试用],手机用着很jiu66666,2018-03-08 08:50:41,0,0,5
j***4,PLUS会员,给老爹买的，他说挺不错的，还比以前的小米轻很多，方便，屏幕又大，，具体情况接下来补发！,2018-03-09 01:06:32,0,0,5
b***o,PLUS会员,价格便宜送货快 应该不错,2018-03-08 14:19:48,0,0,5
昌***东,银牌会员,外观时尚 漂亮  很喜欢  京东送货就是快,2018-03-08 19:41:37,0,0,5
爱***伴,银牌会员,用了2个月 才评论的 用着不赖 真的比其它品牌的还要好 必须要好评 支持国产华伟 今天又再京东买了一个,2018-03-06 15:33:52,0,0,5
j***5,铜牌会员,手机挺好，就是说有赠品，手机到了赠品没了,2018-03-06 10:13:07,0,0,5
j***r,银牌会员,手机电池刚开始还好，一个月后耗电很快。,2018-03-08 19:14:04,0,0,5
s***k,银牌会员,手机质量和性能来说，都还可以，赞一个,2018-03-07 15:18:45,0,0,5
z***1,钻石会员,一直信任华为，华为信号好，品质一流,2018-03-09 07:46:36,0,0,5
j***g,铜牌会员,手机运行蛮快，电耗久，性价比不错。,2018-03-08 12:48:14,0,0,5
飞***砖,银牌会员,新机用着还不错，很流畅，电量也充足,2018-03-08 08:20:56,0,0,5
j***l,钻石会员,刚用两天运行挺快的照片也清楚还不错,2018-03-07 09:07:34,0,0,5
j***q,银牌会员,质量不错，快递服务也非常周到、热情,2018-03-06 22:33:27,0,0,5
c***9,钻石会员,给朋友买的，还没用，看着外观还行,2018-03-06 23:03:22,0,0,5
青***悔,银牌会员,很好，挺好用的，这个价位也可以了,2018-03-06 08:19:04,0,0,5
j***9,金牌会员,外观很漂亮，上网很流畅，挺好的,2018-03-09 07:53:56,0,0,5
小***了,钻石会员,式样很时尚，很漂亮，很适用，赞,2018-03-06 15:00:54,0,0,5
酒***虫,金牌会员,帮朋友买的，他用过了挺好用的。,2018-03-06 22:16:32,0,0,5
e***7,钻石会员,还没用，给老爷子买的希望不错,2018-03-07 17:09:56,0,0,5
j***子,钻石会员,质量很好，价格很实惠，很满意,2018-03-07 09:28:19,0,0,5
徐***英,金牌会员,刚收到，还没用呢，挺喜欢的,2018-03-07 21:31:00,0,0,5
l***c,金牌会员,屏幕大小适合，重量减轻了。,2018-03-07 10:10:46,0,0,5
佳***6,金牌会员,用起来不错，黑色非常滴好看,2018-03-06 21:12:35,0,0,5
美洲象,钻石会员,非常好！！！！！！！！,2018-03-06 13:40:30,0,0,5
j***1,金牌会员,给媳妇买的，很不错。,2018-03-08 17:14:09,0,0,5
s***l,钻石会员,超级好用，运行流畅！,2018-03-06 08:09:41,0,0,5
j***l,银牌会员,是，我心里想像中的,2018-03-09 22:37:33,0,0,5
j***e,铜牌会员,不错，物流速度挺快,2018-03-08 12:58:40,0,0,5
z***i,金牌会员,很不错，用的蛮好的,2018-03-08 22:28:14,0,0,5
j***0,银牌会员,不错，和描述的一样,2018-03-07 11:18:46,0,0,5
j***b,银牌会员,还挺好用的，已经是同一个月连续第二部华为手机啦～～马上想再买一部，送妈妈～,2018-03-08 12:57:13,0,0,5
半***主,PLUS会员,质量不错，物流很快，就是不知道电池如何了，期待更好,2018-03-06 13:46:26,0,0,5
